Entity,Code,Average Rate of Agricultural land (% of land area),Average Rate Trend of Agricultural land (% of land area),Average Rate of Forest area (% of land area),Average Rate Trend of Forest area (% of land area),Average Rate of GDP per capita (current US$),Average Rate Trend of GDP per capita (current US$),Corruption Perception Index - Transparency International (2018),Human Development Index (UNDP)
Aruba,ABW,11.1111,0.0,2.3333,0.0,25387.7457,454.3392,,
Africa Eastern and Southern,AFE,44.739,-0.0232,32.4447,-0.2282,1342.212,41.0753,,
Afghanistan,AFG,58.1366,0.0277,1.8528,0.0,,,12.142857142857142,0.4485625
Africa Western and Central,AFW,38.7831,0.1378,20.6886,-0.0891,1447.9548,64.8369,,
Angola,AGO,42.0572,0.4159,57.8792,-0.4452,2654.417,78.513,19.285714285714285,0.49805555555555553
Albania,ALB,42.3591,0.056,28.5176,0.037,3627.3402,221.8303,35.142857142857146,0.7302777777777778
Andorra,AND,43.4509,-0.4656,34.0426,0.0,38044.1209,941.8251,,0.8258333333333332
Arab World,ARB,38.5405,-0.1602,3.2192,-0.0382,5481.346,183.8716,,
United Arab Emirates,ARE,6.417,-0.1189,4.4387,0.0057,38384.8439,437.2899,69.14285714285714,0.8342777777777777
Argentina,ARG,44.7664,-0.3876,11.161,-0.0893,9239.9918,111.6065,35.714285714285715,0.7991666666666667
Armenia,ARM,57.1012,0.6517,11.6108,-0.0073,2886.8631,204.1752,35.0,0.7121666666666666
American Samoa,ASM,24.9819,-0.5125,87.15,-0.15,,,,
Antigua and Barbuda,ATG,20.4545,0.0,19.9594,-0.1517,13555.4015,304.4539,,0.7713076923076922
Australia,AUS,50.9967,-0.6521,17.1395,0.0142,45552.6061,1732.7071,79.71428571428571,0.9189444444444445
Austria,AUT,33.6669,-0.1812,46.8499,0.0368,43215.3014,1322.3198,73.14285714285714,0.8771666666666668
Azerbaijan,AZE,57.6343,0.0225,12.6485,0.0855,4098.9849,210.2386,28.428571428571427,0.7133333333333334
Burundi,BDI,74.6755,0.3484,8.8235,0.1756,205.2053,4.7588,20.0,0.36938888888888893
Belgium,BEL,44.9453,-0.0529,22.5806,0.0373,40354.6483,1219.4076,75.71428571428571,0.8972222222222224
Benin,BEN,32.4258,0.3442,32.2379,-0.4434,994.4074,38.0724,37.57142857142857,0.46333333333333343
Burkina Faso,BFA,42.3264,0.418,24.5485,-0.1828,600.8076,29.1056,39.57142857142857,0.357
Bangladesh,BGD,72.0904,0.1853,14.5566,-0.0146,994.3813,92.9446,26.142857142857142,0.5352777777777779
Bulgaria,BGR,47.3398,-0.2024,33.893,0.2727,6204.3021,435.2943,41.714285714285715,0.7681666666666668
Bahrain,BHR,11.5013,-0.1043,0.6926,0.0183,20187.8001,490.6081,44.857142857142854,0.8036111111111113
"Bahamas, The",BHS,1.3653,0.0053,50.9351,0.0,29699.0397,230.2815,,
Bosnia and Herzegovina,BIH,42.2855,0.0894,41.6608,0.0786,4215.654,242.6911,39.42857142857143,0.7185555555555556
Belarus,BLR,43.3324,-0.2246,42.2005,0.1218,4954.1119,289.4124,35.857142857142854,0.760611111111111
Belize,BLZ,6.9706,0.0531,60.4515,-0.3973,4280.6502,71.4111,,0.698
Bermuda,BMU,6.261,-0.0975,18.5185,0.0,92933.3079,3005.646,,
Bolivia,BOL,34.5415,0.0311,48.9531,-0.1976,2115.4768,129.6392,33.142857142857146,0.6457222222222222
Brazil,BRA,27.7865,0.0537,61.9592,-0.3312,7881.9698,250.4352,39.714285714285715,0.7208333333333334
Barbados,BRB,32.5028,-0.9792,14.6512,0.0,15332.5197,351.8979,70.33333333333333,0.7783333333333334
Brunei Darussalam,BRN,2.3394,0.0315,72.9511,-0.1655,30524.8199,660.4123,,
Bhutan,BTN,14.0914,-0.0568,69.8623,0.309,2064.0418,132.2414,65.14285714285714,0.5693076923076923
Botswana,BWA,45.638,-0.0048,29.0045,-0.2087,5944.653,187.4497,62.42857142857143,0.6400555555555556
Central African Republic,CAF,8.2346,-0.0058,36.2821,-0.0482,403.8739,11.5793,24.0,0.337
Canada,CAN,6.6213,-0.019,38.7417,-0.0049,41197.5529,1126.4371,82.0,0.8988333333333333
Central Europe and the Baltics,CEB,48.1613,-0.3227,33.6835,0.1073,11371.051,645.1844,,
Switzerland,CHE,38.8337,-0.0778,31.2173,0.0927,71247.9862,2454.2111,85.57142857142857,0.919388888888889
Channel Islands,CHI,,,,,,,,
Chile,CHL,21.0935,0.0397,22.7387,0.1613,11066.4493,492.2235,69.42857142857143,0.8032222222222223
China,CHN,55.9785,0.0259,21.1706,0.2288,5062.5222,485.6442,38.857142857142854,0.6821666666666666
Cote d'Ivoire,CIV,64.72,0.2648,12.4704,-0.355,1685.2683,67.5637,32.142857142857146,0.43577777777777776
Cameroon,CMR,20.0732,0.0657,44.2901,-0.1333,1277.0942,44.8087,25.857142857142858,0.49705555555555553
"Congo, Dem. Rep.",COD,12.7929,0.1881,60.0106,-0.3889,367.6425,12.6894,,
"Congo, Rep.",COG,30.992,0.0136,64.6388,-0.0362,2307.3625,66.3612,,
